,,,Overall,Overall,Overall,Overall,Overall,search,search,search,search,search,search,search,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Hardpoint,Control,Control,Control,Control,Control,Control,Control,
Rank,Player,team,K,D,KD,+/-,M,K,D,KD,+/-,K/M,FK,M,K,D,KD,+/-,K/M,TM,M,K,D,KD,+/-,K/M,CP,M,year
16,Beans,TOR,311,296,1.051,15,17,45,37,1.216,8,7.5,5,6,177,175,1.011,2,25.3,429,7,89,84,1.06,5,22.3,20,4,2025
17,TJHaLy,CAR,300,285,1.053,15,16,37,28,1.321,9,7.4,9,5,172,169,1.018,3,24.6,422,7,91,88,1.034,3,22.8,13,4,2025
18,Lynz,M8s,387,376,1.029,11,18,42,40,1.05,2,7,5,6,246,229,1.074,17,30.8,304,8,99,107,0.925,-8,24.8,16,4,2025
19,Envoy,LAT,351,343,1.023,8,17,32,34,0.941,-2,6.4,5,5,199,198,1.005,1,24.9,674,8,120,111,1.081,9,30,16,4,2025
20,Nero,MIN,382,375,1.019,7,18,42,44,0.955,-2,7,9,6,242,245,0.988,-3,30.3,436,8,98,86,1.14,12,24.5,13,4,2025
21,aBeZy,ATL,310,306,1.013,4,16,32,35,0.914,-3,6.4,14,5,170,159,1.069,11,24.3,357,7,108,112,0.964,-4,27,16,4,2025
22,Cammy,BOS,337,335,1.006,2,20,48,46,1.044,2,6,9,8,217,207,1.048,10,27.1,546,8,72,82,0.878,-10,18,9,4,2025
23,Ghosty,LAT,333,331,1.006,2,17,36,33,1.091,3,7.2,4,5,195,197,0.99,-2,24.4,751,8,102,101,1.01,1,25.5,17,4,2025
24,JoeDeceives,TOR,309,307,1.007,2,17,45,30,1.5,15,7.5,8,6,174,185,0.941,-11,24.9,436,7,90,92,0.978,-2,22.5,12,4,2025
25,Skyz,M8s,334,335,0.997,-1,18,39,35,1.114,4,6.5,4,6,197,213,0.925,-16,24.6,483,8,98,87,1.126,11,24.5,19,4,2025
